DATE,T10Y3M
1982-01-01,1.6760000000000000
1982-02-01,0.14611111111111111111
1982-03-01,0.54652173913043478261
1982-04-01,0.52714285714285714286
1982-05-01,0.90850000000000000000
1982-06-01,1.2209090909090909
1982-07-01,2.0828571428571429
1982-08-01,4.0577272727272727
1982-09-01,4.1461904761904762
1982-10-01,2.9390000000000000
1982-11-01,2.2042105263157895
1982-12-01,2.3372727272727273
1983-01-01,2.3400000000000000
1983-02-01,2.3305263157894737
1983-03-01,1.8469565217391304
1983-04-01,1.8865000000000000
1983-05-01,1.8842857142857143
1983-06-01,1.7090909090909091
1983-07-01,1.9275000000000000
1983-08-01,2.1069565217391304
1983-09-01,2.2923809523809524
1983-10-01,2.5530000000000000
1983-11-01,2.5789473684210526
1983-12-01,2.4719047619047619
1984-01-01,2.4104761904761905
1984-02-01,2.3826315789473684
1984-03-01,2.4295454545454545
1984-04-01,2.5605000000000000
1984-05-01,3.1854545454545455
1984-06-01,3.3023809523809524
1984-07-01,2.8314285714285714
1984-08-01,1.8156521739130435
1984-09-01,1.7268421052631579
1984-10-01,2.0359090909090909
1984-11-01,2.6478947368421053
1984-12-01,3.1620000000000000
1985-01-01,3.3642857142857143
1985-02-01,2.9516666666666667
1985-03-01,3.0252380952380952
1985-04-01,3.2128571428571429
1985-05-01,3.1136363636363636
1985-06-01,2.9760000000000000
1985-07-01,2.9904545454545455
1985-08-01,2.9613636363636364
1985-09-01,3.0400000000000000
1985-10-01,2.8359090909090909
1985-11-01,2.3052631578947368
1985-12-01,1.9290476190476190
1986-01-01,1.8919047619047619
1986-02-01,1.4136842105263158
1986-03-01,1.01450000000000000000
1986-04-01,1.0636363636363636
1986-05-01,1.3747619047619048
1986-06-01,1.4028571428571429
1986-07-01,1.3036363636363636
1986-08-01,1.4804761904761905
1986-09-01,2.0952380952380952
1986-10-01,2.1031818181818182
1986-11-01,1.7505555555555556
1986-12-01,1.4300000000000000
1987-01-01,1.5065000000000000
1987-02-01,1.4994736842105263
1987-03-01,1.4827272727272727
1987-04-01,2.2071428571428571
1987-05-01,2.7665000000000000
1987-06-01,2.5477272727272727
1987-07-01,2.5677272727272727
1987-08-01,2.5271428571428571
1987-09-01,2.8004761904761905
1987-10-01,3.1690476190476190
1987-11-01,2.9705263157894737
1987-12-01,3.0281818181818182
1988-01-01,2.6610526315789474
1988-02-01,2.3695000000000000
1988-03-01,2.5034782608695652
1988-04-01,2.6355000000000000
1988-05-01,2.6347619047619048
1988-06-01,2.2572727272727273
1988-07-01,2.1080000000000000
1988-08-01,1.9608695652173913
1988-09-01,1.4990476190476190
1988-10-01,1.1985000000000000
1988-11-01,0.93400000000000000000
1988-12-01,0.75714285714285714286
1989-01-01,0.53300000000000000000
1989-02-01,0.33210526315789473684
1989-03-01,0.21545454545454545455
1989-04-01,0.21300000000000000000
1989-05-01,0.12318181818181818182
1989-06-01,-0.15727272727272727273
1989-07-01,-0.12850000000000000000
1989-08-01,-0.05739130434782608696
1989-09-01,0.17600000000000000000
1989-10-01,0.10809523809523809524
1989-11-01,-0.06952380952380952381
1989-12-01,-0.04350000000000000000
1990-01-01,0.30857142857142857143
1990-02-01,0.47105263157894736842
1990-03-01,0.41863636363636363636
1990-04-01,0.74500000000000000000
1990-05-01,0.75136363636363636364
1990-06-01,0.49333333333333333333
1990-07-01,0.59666666666666666667
1990-08-01,1.0582608695652174
1990-09-01,1.2952631578947368
1990-10-01,1.3195454545454545
1990-11-01,1.1015000000000000
1990-12-01,1.1255000000000000
1991-01-01,1.6823809523809524
1991-02-01,1.7384210526315789
1991-03-01,2.0165000000000000
1991-04-01,2.2136363636363636
1991-05-01,2.4340909090909091
1991-06-01,2.5330000000000000
1991-07-01,2.5218181818181818
1991-08-01,2.4022727272727273
1991-09-01,2.2765000000000000
1991-10-01,2.3831818181818182
1991-11-01,2.7278947368421053
1991-12-01,2.9042857142857143
1992-01-01,3.1261904761904762
1992-02-01,3.3878947368421053
1992-03-01,3.4036363636363636
1992-04-01,3.6414285714285714
1992-05-01,3.6730000000000000
1992-06-01,3.5168181818181818
1992-07-01,3.5650000000000000
1992-08-01,3.3866666666666667
1992-09-01,3.4466666666666667
1992-10-01,3.6561904761904762
1992-11-01,3.6673684210526316
1992-12-01,3.4786363636363636
1993-01-01,3.5289473684210526
1993-02-01,3.2663157894736842
1993-03-01,2.9608695652173913
1993-04-01,3.0390476190476190
1993-05-01,3.0105000000000000
1993-06-01,2.8181818181818182
1993-07-01,2.6942857142857143
1993-08-01,2.5872727272727273
1993-09-01,2.3514285714285714
1993-10-01,2.2420000000000000
1993-11-01,2.5445000000000000
1993-12-01,2.6463636363636364
1994-01-01,2.7060000000000000
1994-02-01,2.6426315789473684
1994-03-01,2.8917391304347826
1994-04-01,3.1915789473684211
1994-05-01,2.9157142857142857
1994-06-01,2.8522727272727273
1994-07-01,2.8415000000000000
1994-08-01,2.6243478260869565
1994-09-01,2.7057142857142857
1994-10-01,2.6420000000000000
1994-11-01,2.5060000000000000
1994-12-01,2.0490476190476190
1995-01-01,1.8780000000000000
1995-02-01,1.5300000000000000
1995-03-01,1.2943478260869565
1995-04-01,1.2247368421052632
1995-05-01,0.78500000000000000000
1995-06-01,0.52909090909090909091
1995-07-01,0.68500000000000000000
1995-08-01,0.92260869565217391304
1995-09-01,0.76350000000000000000
1995-10-01,0.60047619047619047619
1995-11-01,0.41238095238095238095
1995-12-01,0.41750000000000000000
1996-01-01,0.50190476190476190476
1996-02-01,0.84100000000000000000
1996-03-01,1.1709523809523810
1996-04-01,1.4236363636363636
1996-05-01,1.5831818181818182
1996-06-01,1.6805000000000000
1996-07-01,1.5672727272727273
1996-08-01,1.4463636363636364
1996-09-01,1.5945000000000000
1996-10-01,1.4104545454545455
1996-11-01,1.03421052631578947368
1996-12-01,1.2619047619047619
1997-01-01,1.4133333333333333
1997-02-01,1.2773684210526316
1997-03-01,1.4100000000000000
1997-04-01,1.5809090909090909
1997-05-01,1.5142857142857143
1997-06-01,1.4228571428571429
1997-07-01,1.02590909090909090909
1997-08-01,1.01904761904761904762
1997-09-01,1.1238095238095238
1997-10-01,0.91681818181818181818
1997-11-01,0.59388888888888888889
1997-12-01,0.50409090909090909091
1998-01-01,0.36550000000000000000
1998-02-01,0.34473684210526315789
1998-03-01,0.48545454545454545455
1998-04-01,0.55476190476190476190
1998-05-01,0.51250000000000000000
1998-06-01,0.37227272727272727273
1998-07-01,0.36681818181818181818
1998-08-01,0.30095238095238095238
1998-09-01,0.06761904761904761905
1998-10-01,0.45952380952380952381
1998-11-01,0.29631578947368421053
1998-12-01,0.14818181818181818182
1999-01-01,0.27578947368421052632
1999-02-01,0.44368421052631578947
1999-03-01,0.66608695652173913043
1999-04-01,0.77545454545454545455
1999-05-01,0.90850000000000000000
1999-06-01,1.1840909090909091
1999-07-01,1.1061904761904762
1999-08-01,1.0654545454545455
1999-09-01,1.0928571428571429
1999-10-01,1.0885000000000000
1999-11-01,0.80650000000000000000
1999-12-01,0.91863636363636363636
2000-01-01,1.1620000000000000
2000-02-01,0.79250000000000000000
2000-03-01,0.39260869565217391304
2000-04-01,0.16894736842105263158
2000-05-01,0.44590909090909090909
2000-06-01,0.23545454545454545455
2000-07-01,-0.08850000000000000000
2000-08-01,-0.45130434782608695652
2000-09-01,-0.37600000000000000000
2000-10-01,-0.55619047619047619048
2000-11-01,-0.63904761904761904762
2000-12-01,-0.69650000000000000000
2001-01-01,-0.12428571428571428571
2001-02-01,0.09368421052631578947
2001-03-01,0.35000000000000000000
2001-04-01,1.1750000000000000
2001-05-01,1.6881818181818182
2001-06-01,1.7190476190476190
2001-07-01,1.6428571428571429
2001-08-01,1.5334782608695652
2001-09-01,2.0394117647058824
2001-10-01,2.3690909090909091
2001-11-01,2.7450000000000000
2001-12-01,3.3675000000000000
2002-01-01,3.3509523809523810
2002-02-01,3.1547368421052632
2002-03-01,3.4590000000000000
2002-04-01,3.4659090909090909
2002-05-01,3.4040909090909091
2002-06-01,3.1945000000000000
2002-07-01,2.9395454545454545
2002-08-01,2.6100000000000000
2002-09-01,2.2110000000000000
2002-10-01,2.3309090909090909
2002-11-01,2.7936842105263158
2002-12-01,2.8214285714285714
2003-01-01,2.8595238095238095
2003-02-01,2.7173684210526316
2003-03-01,2.6561904761904762
2003-04-01,2.8061904761904762
2003-05-01,2.4809523809523810
2003-06-01,2.3980952380952381
2003-07-01,3.0550000000000000
2003-08-01,3.4761904761904762
2003-09-01,3.3190476190476190
2003-10-01,3.3486363636363636
2003-11-01,3.3477777777777778
2003-12-01,3.3531818181818182
2004-01-01,3.2500000000000000
2004-02-01,3.1394736842105263
2004-03-01,2.8730434782608696
2004-04-01,3.3895238095238095
2004-05-01,3.6760000000000000
2004-06-01,3.4457142857142857
2004-07-01,3.1404761904761905
2004-08-01,2.7781818181818182
2004-09-01,2.4442857142857143
2004-10-01,2.3025000000000000
2004-11-01,2.0865000000000000
2004-12-01,2.0081818181818182
2005-01-01,1.8505000000000000
2005-02-01,1.5857894736842105
2005-03-01,1.7018181818181818
2005-04-01,1.5042857142857143
2005-05-01,1.2423809523809524
2005-06-01,0.96181818181818181818
2005-07-01,0.89000000000000000000
2005-08-01,0.74434782608695652174
2005-09-01,0.70476190476190476190
2005-10-01,0.67100000000000000000
2005-11-01,0.56050000000000000000
2005-12-01,0.49619047619047619048
2006-01-01,0.08000000000000000000
2006-02-01,0.02947368421052631579
2006-03-01,0.09608695652173913043
2006-04-01,0.26894736842105263158
2006-05-01,0.27363636363636363636
2006-06-01,0.18863636363636363636
2006-07-01,0.01100000000000000000
2006-08-01,-0.21391304347826086957
2006-09-01,-0.21100000000000000000
2006-10-01,-0.31714285714285714286
2006-11-01,-0.47809523809523809524
2006-12-01,-0.40850000000000000000
